@relation HW9_TestingOneClassClassification_train

@attribute class {bot}
@attribute score_tag {P,NONE,N,NEU,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute joy numeric
@attribute surprise numeric
@attribute fear numeric
@attribute sadness numeric
@attribute anger numeric
@attribute urlsCount numeric
@attribute mentionsCount numeric
@attribute isRetweet numeric
@attribute wordsCount numeric
@attribute hashtagsCount numeric

@data
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.317079,0.244796,0.201842,0.175647,0.060637,0,0,0,5,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.277532,0.205047,0.188528,0.177076,0.151817,0,1,0,8,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.398848,0.30341,0.198737,0.079567,0.019438,0,0,0,8,0
bot,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.679072,0.179843,0.082364,0.035547,0.023174,0,0,0,4,0
bot,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.395887,0.386999,0.107684,0.066166,0.043264,0,0,0,14,0
bot,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.379459,0.271336,0.126486,0.111574,0.111145,0,1,0,20,0
bot,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.447661,0.257956,0.149278,0.114283,0.030822,0,2,1,26,2
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.380867,0.269702,0.210076,0.091473,0.047883,0,1,0,11,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.289982,0.252493,0.19788,0.143583,0.116062,0,1,1,21,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.25377,0.240413,0.238728,0.217395,0.049693,0,0,0,7,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.275958,0.249117,0.163709,0.159983,0.151233,0,0,0,8,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.298054,0.195347,0.182301,0.170082,0.154217,0,1,0,2,0
bot,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.773935,0.136335,0.055152,0.021976,0.012602,0,0,0,13,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.434742,0.208585,0.183105,0.089302,0.084266,0,0,0,6,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.504156,0.165259,0.128892,0.125411,0.076283,0,0,0,20,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.405535,0.163435,0.155701,0.149269,0.12606,0,1,0,2,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.282531,0.21716,0.192946,0.164956,0.142407,0,1,0,2,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.405535,0.163435,0.155701,0.149269,0.12606,0,1,0,2,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.471135,0.302309,0.12108,0.089372,0.016105,1,1,0,13,5
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.755467,0.091631,0.069754,0.054057,0.02909,0,0,0,9,2
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.377522,0.309575,0.114527,0.103002,0.095374,0,1,0,19,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.45801,0.292454,0.156331,0.048572,0.044633,0,1,0,10,0
bot,P,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.505931,0.296719,0.100015,0.049859,0.047477,0,1,0,16,0
bot,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.347084,0.278826,0.20871,0.09539,0.06999,0,0,0,9,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.411706,0.334316,0.153782,0.058419,0.041777,0,1,0,22,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.366764,0.23999,0.179311,0.155172,0.058764,0,0,0,22,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.55335,0.326516,0.077748,0.027678,0.014708,0,0,0,7,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.35999,0.279546,0.172248,0.110972,0.077244,0,0,0,8,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.372321,0.2658,0.151501,0.111016,0.099362,0,1,0,2,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.298054,0.195347,0.182301,0.170082,0.154217,0,1,0,2,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.322785,0.209312,0.171302,0.152595,0.144006,0,1,0,3,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.63145,0.175134,0.089241,0.066728,0.037448,0,0,0,22,0
bot,N+,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.357977,0.294887,0.16011,0.109227,0.077799,0,1,0,18,0
bot,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.446705,0.222796,0.180203,0.104107,0.046189,0,1,0,7,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.53681,0.239906,0.124882,0.091422,0.006979,0,0,0,22,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.293651,0.245209,0.207053,0.153687,0.100399,0,0,0,15,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.415748,0.278409,0.14025,0.092606,0.072988,0,0,0,9,0
bot,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.396459,0.349017,0.154887,0.065584,0.034053,0,0,0,18,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.379084,0.353518,0.160082,0.08295,0.024366,0,0,0,12,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.322785,0.209312,0.171302,0.152595,0.144006,0,1,0,3,0
bot,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.627727,0.133241,0.101856,0.086338,0.050839,0,0,0,11,0
bot,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.526207,0.244356,0.107597,0.077289,0.044551,0,0,0,16,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.480575,0.246844,0.105393,0.095702,0.071485,0,1,0,17,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.473437,0.242135,0.160378,0.089107,0.034943,0,1,0,17,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.454603,0.415989,0.079043,0.028743,0.021622,0,0,0,15,0
bot,P+,AGREEMENT,SUBJECTIVE,90,IRONIC,0.428806,0.272708,0.196703,0.086384,0.015399,1,1,0,15,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.812111,0.126582,0.044543,0.009715,0.00705,0,0,0,4,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.289721,0.254292,0.207972,0.130738,0.117277,0,1,0,19,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.528456,0.159085,0.157289,0.082596,0.072573,0,0,0,22,10
bot,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.828734,0.092686,0.065976,0.011412,0.001193,1,0,0,21,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.68772,0.102575,0.100238,0.096229,0.013238,0,0,0,5,0
bot,NEU,DISAGREEMENT,OBJECTIVE,91,NONIRONIC,0.538973,0.149156,0.148012,0.105533,0.058325,0,0,0,8,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.282531,0.21716,0.192946,0.164956,0.142407,0,1,0,2,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.474149,0.412924,0.057395,0.046969,0.008563,0,0,0,29,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.809497,0.159722,0.019741,0.007825,0.003216,0,2,0,13,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.384194,0.33025,0.131377,0.08883,0.065348,0,0,0,15,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.500225,0.46704,0.021792,0.008848,0.002095,0,0,0,26,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.341542,0.226167,0.187142,0.132663,0.112487,0,1,0,2,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.376536,0.221111,0.15059,0.139549,0.112215,0,0,0,9,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.395777,0.277505,0.141407,0.114239,0.071072,0,0,0,16,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.466067,0.27836,0.187505,0.058777,0.00929,0,0,0,10,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.448874,0.212841,0.208344,0.100295,0.029647,0,1,0,19,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.769309,0.102388,0.054214,0.048368,0.025721,0,0,0,8,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.49283,0.164948,0.163025,0.117514,0.061683,0,1,0,2,0
bot,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.815117,0.116586,0.055805,0.007834,0.004658,0,0,0,16,0
bot,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.571757,0.246235,0.113977,0.034475,0.033557,0,0,0,18,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.291251,0.267767,0.220067,0.15462,0.066294,0,0,0,10,0
bot,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.683029,0.222767,0.034659,0.031298,0.028246,0,0,0,13,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.30617,0.246459,0.172798,0.161633,0.11294,0,1,0,2,0
bot,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.704137,0.183608,0.051996,0.032796,0.027464,0,0,0,22,0
bot,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.268457,0.222832,0.178667,0.178222,0.151821,0,0,0,14,0
bot,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.505939,0.310307,0.101107,0.044003,0.038644,0,1,0,19,0
bot,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.348056,0.326716,0.125299,0.120763,0.079166,0,1,0,18,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.278866,0.230772,0.180885,0.159341,0.150135,0,1,0,2,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.290218,0.222206,0.208442,0.144373,0.134761,0,1,0,3,0
bot,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.380174,0.219602,0.199973,0.124144,0.076107,0,0,0,30,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.483068,0.218482,0.1744,0.0696,0.05445,0,0,0,17,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.437805,0.332223,0.09333,0.08499,0.051652,0,1,0,18,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.322785,0.209312,0.171302,0.152595,0.144006,0,1,0,3,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.370632,0.261768,0.155366,0.10635,0.105885,0,0,0,19,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.465272,0.241569,0.145519,0.107614,0.040026,1,0,0,12,8
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.41774,0.235225,0.231775,0.08795,0.02731,0,0,0,7,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.287757,0.238068,0.23771,0.18353,0.052935,0,0,0,5,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.34083,0.246412,0.168868,0.160237,0.083653,0,1,0,3,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.716404,0.122272,0.080724,0.061228,0.019371,0,0,0,8,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.515926,0.286782,0.162244,0.023905,0.011143,0,0,0,7,0
