@relation KNN_Emotion_train

@attribute class {bot,human}
@attribute joy numeric
@attribute surprise numeric
@attribute fear numeric
@attribute sadness numeric
@attribute anger numeric

@data
bot,0.448691,0.34147,0.133749,0.072787,0.003302
bot,0.283525,0.213464,0.186813,0.172728,0.143469
bot,0.511204,0.299718,0.099615,0.059135,0.030328
bot,0.359473,0.287338,0.149357,0.132855,0.070978
bot,0.322785,0.209312,0.171302,0.152595,0.144006
bot,0.602362,0.272811,0.052293,0.048574,0.02396
bot,0.735868,0.146432,0.06877,0.0379,0.011029
bot,0.647469,0.144727,0.108222,0.070672,0.028911
bot,0.287804,0.24333,0.222677,0.200376,0.045813
bot,0.309797,0.233751,0.232799,0.198586,0.025068
bot,0.300018,0.247873,0.247399,0.156745,0.047964
bot,0.393181,0.222394,0.211274,0.119912,0.053239
bot,0.320531,0.212323,0.189663,0.145662,0.13182
bot,0.770687,0.08214,0.072855,0.046641,0.027677
bot,0.420925,0.303121,0.12677,0.075457,0.073727
bot,0.384887,0.325067,0.117934,0.109157,0.062955
bot,0.362454,0.188211,0.177267,0.155995,0.116073
bot,0.558041,0.234295,0.17008,0.02961,0.007974
bot,0.353985,0.243425,0.165717,0.133691,0.103181
bot,0.305667,0.238036,0.219722,0.144977,0.091598
bot,0.684421,0.197311,0.042058,0.040809,0.035401
bot,0.468577,0.164301,0.155622,0.106831,0.104669
bot,0.50559,0.243968,0.151112,0.051104,0.048225
bot,0.770094,0.072323,0.071933,0.070804,0.014847
bot,0.305807,0.235748,0.206479,0.200987,0.050979
bot,0.221015,0.211971,0.193266,0.1888,0.184947
bot,0.451588,0.233534,0.231667,0.047419,0.035791
bot,0.506104,0.246541,0.09925,0.079745,0.06836
bot,0.27765,0.228255,0.202713,0.158177,0.133205
bot,0.567413,0.15554,0.144529,0.101641,0.030876
bot,0.666497,0.123685,0.101623,0.079412,0.028783
bot,0.676576,0.167633,0.085546,0.049573,0.020672
bot,0.393888,0.392762,0.102192,0.088693,0.022465
bot,0.443248,0.210979,0.131189,0.122967,0.091618
bot,0.826545,0.106598,0.034172,0.025498,0.007187
bot,0.461574,0.212328,0.155192,0.122399,0.048506
bot,0.37933,0.209689,0.166845,0.12553,0.118606
bot,0.378461,0.322885,0.138621,0.086587,0.073446
bot,0.623704,0.255463,0.073485,0.040751,0.006596
bot,0.456255,0.207382,0.17978,0.090434,0.06615
bot,0.228191,0.210881,0.206658,0.190997,0.163273
bot,0.283199,0.222858,0.197652,0.164841,0.13145
bot,0.372321,0.2658,0.151501,0.111016,0.099362
bot,0.605479,0.314391,0.036011,0.024253,0.019866
bot,0.873527,0.061751,0.05517,0.007293,0.002259
bot,0.504548,0.209195,0.203037,0.076381,0.006839
bot,0.592564,0.126332,0.112133,0.106263,0.062709
bot,0.488752,0.216118,0.147057,0.102519,0.045555
bot,0.700665,0.134366,0.12998,0.020032,0.014957
bot,0.37933,0.209689,0.166845,0.12553,0.118606
bot,0.356294,0.345026,0.11943,0.115537,0.063713
bot,0.511006,0.221345,0.215395,0.047382,0.004872
bot,0.332317,0.214697,0.186146,0.141542,0.125297
bot,0.606271,0.230644,0.064907,0.062506,0.035672
bot,0.364489,0.27497,0.175045,0.110413,0.075083
bot,0.339351,0.297721,0.160822,0.12533,0.076775
bot,0.480644,0.315046,0.103849,0.090849,0.009612
bot,0.311002,0.236975,0.214062,0.203703,0.034259
bot,0.521809,0.366184,0.058847,0.02812,0.02504
bot,0.3017,0.300851,0.19531,0.119313,0.082826
bot,0.303857,0.218682,0.199663,0.149755,0.128044
bot,0.524883,0.245208,0.097026,0.07042,0.062463
bot,0.405535,0.163435,0.155701,0.149269,0.12606
bot,0.583183,0.140836,0.102219,0.097141,0.076621
